Category,Data Code,Data Name,Date,Patient Count,Normalized Patient Count
m1 [ante natal care (anc)],1.2.6,Number of PW given one Albendazole tablet after 1st trimester,2023-05-01,0.0,0.0
m1 [ante natal care (anc)],1.2.7,Number of PW received 4 or more ANC check ups,2023-05-01,0.0,0.0
m1 [ante natal care (anc)],1.2.8,Number of PW given ANC Corticosteroids in Pre-Term Labour,2023-05-01,42.0,0.0005906674542232723
m1 [ante natal care (anc)],1.3.1,New cases of PW with hypertension detected ,2023-05-01,42.0,0.0005906674542232723
m1 [ante natal care (anc)],1.3.1.a,Number of PW with hypertension managed at institution ,2023-05-01,42.0,0.0005906674542232723
m1 [ante natal care (anc)],1.3.2,Number of Eclampsia cases managed during delivery,2023-05-01,1.0,1.4063510814839816e-05
m1 [ante natal care (anc)],1.4.1,Number of PW tested for Haemoglobin (Hb ) 4 or more than 4 times for respective ANCs,2023-05-01,20.0,0.0002812702162967963
m1 [ante natal care (anc)],1.4.2,Number of PW having Hb level<11(7.1 to 10.9 g/dl) (Out of total tested cases),2023-05-01,15.0,0.00021095266222259724
m1 [ante natal care (anc)],1.4.3,Number of PW having Hb level<=7 g/dl (Out of total tested cases),2023-05-01,1.0,1.4063510814839816e-05
m1 [ante natal care (anc)],1.4.4,Number of PW treated for severe anaemia (Hb<=7g/dl) (Out of total tested cases),2023-05-01,1.0,1.4063510814839816e-05
m1 [ante natal care (anc)],1.5.1,Number of PW tested for Blood Sugar using OGTT(Oral Glucose Tolerance Test),2023-05-01,443.0,0.006230135290974039
m1 [ante natal care (anc)],1.5.2,Number of PW tested positive for GDM out of total OGTT(Oral Glucose Tolerance Test) conducted,2023-05-01,23.0,0.00032346074874131577
m1 [ante natal care (anc)],1.5.3,Number of PW given Insulin out of total tested positive for GDM,2023-05-01,0.0,0.0
m1 [ante natal care (anc)],1.5.4,Number of PW given Metformin out of total tested positive for GDM,2023-05-01,0.0,0.0
m1 [ante natal care (anc)],1.6.1.a,Number of pregnant/Direct-In-Labor (DIL) women screened/tested (with VDRL/RPR/TPHA/RDT/PoC) for Syphilis,2023-05-01,443.0,0.006230135290974039
m1 [ante natal care (anc)],1.6.1.b,Number of pregnant/DIL women found Seropositive for Syphilis by VDRL/RPR/TPHA/RDT/PoC test,2023-05-01,0.0,0.0
m1 [ante natal care (anc)],1.6.1.c,Number of pregnant/DIL women found Syphilis-Seropositive and given treatment with injection Benzathine Penicillin (IM),2023-05-01,0.0,0.0
m1 [ante natal care (anc)],1.6.1.d,Number of live births among Syphilis Seropositive Pregnant Women,2023-05-01,0.0,0.0
m1 [ante natal care (anc)],1.6.1.e,Number of babies born to Syphilis-Seropositive Pregnant Women tested positive/ clinically diagnosed for congenital Syphilis ,2023-05-01,0.0,0.0
m1 [ante natal care (anc)],1.6.1.f,"Out of above, babies with congenital Syphilis received curative treatment ",2023-05-01,0.0,0.0
m1 [ante natal care (anc)],1.7.1,Number of Pregnant Women tested positive for Thyroid disorder,2023-05-01,0.0,0.0
m1 [ante natal care (anc)],1.7.2,Number of Pregnant Women treated for thyroid disorder,2023-05-01,0.0,0.0
m1 [ante natal care (anc)],1.8.1,Number of Pregnant Women screened for TB ,2023-05-01,0.0,0.0
m1 [ante natal care (anc)],1.8.2,Number of Pregnant Women identified with Presumptive TB symptoms,2023-05-01,0.0,0.0
m1 [ante natal care (anc)],1.8.3,Number of Pregnant Women referred out of those identified with Presumptive TB symptoms ,2023-05-01,0.0,0.0
m1 [ante natal care (anc)],1.9.1,Total High Risk Pregnancy (HRP) Intrapartum including following:,2023-05-01,0.0,0.0
m1 [ante natal care (anc)],1.9.1.a,Number of Pregnant Women with Post-Partum Haemorrhage(Immediately after delivery) in the facility.,2023-05-01,0.0,0.0
m1 [ante natal care (anc)],1.9.1.b,Number of Pregnant Women with Sepsis in the facility.,2023-05-01,0.0,0.0
m1 [ante natal care (anc)],1.9.1.c,Number of Pregnant Women identified with Eclampsia in the facility,2023-05-01,0.0,0.0
m1 [ante natal care (anc)],1.9.1.d,Number of Pregnant Women identified with obstructed labour in the facility.,2023-05-01,0.0,0.0
m1 [ante natal care (anc)],1.9.2,Total High Risk Pregnancy (HRP) Antepartum (Only New Cases are to be reported),2023-05-01,0.0,0.0
m1 [ante natal care (anc)],1.9.3,Total no. of ANC or PNC cases referred to Higher/ any other facility,2023-05-01,0.0,0.0
m1 [ante natal care (anc)],1.9.4,Total no. of ANC or PNC cases referred in to the facility,2023-05-01,0.0,0.0
m1 [ante natal care (anc)],1.9.5,Number of Complicated pregnancies treated with Blood Transfusion,2023-05-01,0.0,0.0
m1 [ante natal care (anc)],1.1,Total number of NEW Pregnant Women registered for ANC ,2023-06-01,0.0,0.0
m1 [ante natal care (anc)],1.1.a,Out of total number of NEW Pregnant Women registered with age <15 years,2023-06-01,0.0,0.0
m1 [ante natal care (anc)],1.1.b,Out of total number of NEW Pregnant Women registered with age 15-19 years,2023-06-01,0.0,0.0
m1 [ante natal care (anc)],1.1.c,Out of total number of NEW Pregnant Women registered with age >19 to 49 years,2023-06-01,0.0,0.0
m1 [ante natal care (anc)],1.1.d,Out of total number of NEW Pregnant Women registered with age >49 years,2023-06-01,0.0,0.0
m1 [ante natal care (anc)],1.1.1,"Out of the total NEW ANC registered, number registered within 1st trimester (within 12 weeks)",2023-06-01,0.0,0.0
m1 [ante natal care (anc)],1.1.2,Total ANC footfall/cases (Old cases + New Registration) attended ,2023-06-01,235.0,0.0033049250414873567
m1 [ante natal care (anc)],1.2.1,Number of PW given Td1 (Tetanus Diptheria dose 1),2023-06-01,12.0,0.0001687621297780778
m1 [ante natal care (anc)],1.2.2,Number of PW given Td2 (Tetanus Diptheria dose 2),2023-06-01,8.0,0.00011250808651871853
m1 [ante natal care (anc)],1.2.3,Number of PW given Td Booster (Tetanus Diptheria dose booster),2023-06-01,2.0,2.8127021629679632e-05
m1 [ante natal care (anc)],1.2.4,Number of PW provided full course 180 Iron Folic Acid (IFA) tablets ,2023-06-01,0.0,0.0
m1 [ante natal care (anc)],1.2.5,Number of PW provided full course 360 Calcium tablets ,2023-06-01,0.0,0.0
m1 [ante natal care (anc)],1.2.6,Number of PW given one Albendazole tablet after 1st trimester,2023-06-01,0.0,0.0
m1 [ante natal care (anc)],1.2.7,Number of PW received 4 or more ANC check ups,2023-06-01,0.0,0.0
m1 [ante natal care (anc)],1.2.8,Number of PW given ANC Corticosteroids in Pre-Term Labour,2023-06-01,42.0,0.0005906674542232723
m1 [ante natal care (anc)],1.3.1,New cases of PW with hypertension detected ,2023-06-01,28.0,0.00039377830281551486
m1 [ante natal care (anc)],1.3.1.a,Number of PW with hypertension managed at institution ,2023-06-01,28.0,0.00039377830281551486
m1 [ante natal care (anc)],1.3.2,Number of Eclampsia cases managed during delivery,2023-06-01,4.0,5.6254043259359264e-05
m1 [ante natal care (anc)],1.4.1,Number of PW tested for Haemoglobin (Hb ) 4 or more than 4 times for respective ANCs,2023-06-01,82.0,0.001153207886816865
m1 [ante natal care (anc)],1.4.2,Number of PW having Hb level<11(7.1 to 10.9 g/dl) (Out of total tested cases),2023-06-01,62.0,0.0008719376705200685
m1 [ante natal care (anc)],1.4.3,Number of PW having Hb level<=7 g/dl (Out of total tested cases),2023-06-01,10.0,0.00014063510814839815
m1 [ante natal care (anc)],1.4.4,Number of PW treated for severe anaemia (Hb<=7g/dl) (Out of total tested cases),2023-06-01,10.0,0.00014063510814839815
m1 [ante natal care (anc)],1.5.1,Number of PW tested for Blood Sugar using OGTT(Oral Glucose Tolerance Test),2023-06-01,262.0,0.0036846398334880316
m1 [ante natal care (anc)],1.5.2,Number of PW tested positive for GDM out of total OGTT(Oral Glucose Tolerance Test) conducted,2023-06-01,36.0,0.0005062863893342334
m1 [ante natal care (anc)],1.5.3,Number of PW given Insulin out of total tested positive for GDM,2023-06-01,12.0,0.0001687621297780778
m1 [ante natal care (anc)],1.5.4,Number of PW given Metformin out of total tested positive for GDM,2023-06-01,0.0,0.0
m1 [ante natal care (anc)],1.6.1.a,Number of pregnant/Direct-In-Labor (DIL) women screened/tested (with VDRL/RPR/TPHA/RDT/PoC) for Syphilis,2023-06-01,262.0,0.0036846398334880316
m1 [ante natal care (anc)],1.6.1.b,Number of pregnant/DIL women found Seropositive for Syphilis by VDRL/RPR/TPHA/RDT/PoC test,2023-06-01,0.0,0.0
m1 [ante natal care (anc)],1.6.1.c,Number of pregnant/DIL women found Syphilis-Seropositive and given treatment with injection Benzathine Penicillin (IM),2023-06-01,0.0,0.0
m1 [ante natal care (anc)],1.6.1.d,Number of live births among Syphilis Seropositive Pregnant Women,2023-06-01,0.0,0.0
m1 [ante natal care (anc)],1.6.1.e,Number of babies born to Syphilis-Seropositive Pregnant Women tested positive/ clinically diagnosed for congenital Syphilis ,2023-06-01,0.0,0.0
m1 [ante natal care (anc)],1.6.1.f,"Out of above, babies with congenital Syphilis received curative treatment ",2023-06-01,0.0,0.0
m1 [ante natal care (anc)],1.7.1,Number of Pregnant Women tested positive for Thyroid disorder,2023-06-01,0.0,0.0
m1 [ante natal care (anc)],1.7.2,Number of Pregnant Women treated for thyroid disorder,2023-06-01,0.0,0.0
m1 [ante natal care (anc)],1.8.1,Number of Pregnant Women screened for TB ,2023-06-01,0.0,0.0
m1 [ante natal care (anc)],1.8.2,Number of Pregnant Women identified with Presumptive TB symptoms,2023-06-01,0.0,0.0
m1 [ante natal care (anc)],1.8.3,Number of Pregnant Women referred out of those identified with Presumptive TB symptoms ,2023-06-01,0.0,0.0
m1 [ante natal care (anc)],1.9.1,Total High Risk Pregnancy (HRP) Intrapartum including following:,2023-06-01,0.0,0.0
m1 [ante natal care (anc)],1.9.1.a,Number of Pregnant Women with Post-Partum Haemorrhage(Immediately after delivery) in the facility.,2023-06-01,0.0,0.0
m1 [ante natal care (anc)],1.9.1.b,Number of Pregnant Women with Sepsis in the facility.,2023-06-01,0.0,0.0
m1 [ante natal care (anc)],1.9.1.c,Number of Pregnant Women identified with Eclampsia in the facility,2023-06-01,0.0,0.0
m1 [ante natal care (anc)],1.9.1.d,Number of Pregnant Women identified with obstructed labour in the facility.,2023-06-01,0.0,0.0
m1 [ante natal care (anc)],1.9.2,Total High Risk Pregnancy (HRP) Antepartum (Only New Cases are to be reported),2023-06-01,0.0,0.0
m1 [ante natal care (anc)],1.9.3,Total no. of ANC or PNC cases referred to Higher/ any other facility,2023-06-01,0.0,0.0
m1 [ante natal care (anc)],1.9.4,Total no. of ANC or PNC cases referred in to the facility,2023-06-01,0.0,0.0
m1 [ante natal care (anc)],1.9.5,Number of Complicated pregnancies treated with Blood Transfusion,2023-06-01,0.0,0.0
m1 [ante natal care (anc)],1.1,Total number of NEW Pregnant Women registered for ANC ,2023-07-01,0.0,0.0
m1 [ante natal care (anc)],1.1.a,Out of total number of NEW Pregnant Women registered with age <15 years,2023-07-01,0.0,0.0
m1 [ante natal care (anc)],1.1.b,Out of total number of NEW Pregnant Women registered with age 15-19 years,2023-07-01,0.0,0.0
m1 [ante natal care (anc)],1.1.c,Out of total number of NEW Pregnant Women registered with age >19 to 49 years,2023-07-01,0.0,0.0
m1 [ante natal care (anc)],1.1.d,Out of total number of NEW Pregnant Women registered with age >49 years,2023-07-01,0.0,0.0
m1 [ante natal care (anc)],1.1.1,"Out of the total NEW ANC registered, number registered within 1st trimester (within 12 weeks)",2023-07-01,0.0,0.0
m1 [ante natal care (anc)],1.1.2,Total ANC footfall/cases (Old cases + New Registration) attended ,2023-07-01,978.0,0.01375411357691334
m1 [ante natal care (anc)],1.2.1,Number of PW given Td1 (Tetanus Diptheria dose 1),2023-07-01,12.0,0.0001687621297780778
m1 [ante natal care (anc)],1.2.2,Number of PW given Td2 (Tetanus Diptheria dose 2),2023-07-01,14.0,0.00019688915140775743
m1 [ante natal care (anc)],1.2.3,Number of PW given Td Booster (Tetanus Diptheria dose booster),2023-07-01,6.0,8.43810648890389e-05
m1 [ante natal care (anc)],1.2.4,Number of PW provided full course 180 Iron Folic Acid (IFA) tablets ,2023-07-01,0.0,0.0
m1 [ante natal care (anc)],1.2.5,Number of PW provided full course 360 Calcium tablets ,2023-07-01,0.0,0.0
m1 [ante natal care (anc)],1.2.6,Number of PW given one Albendazole tablet after 1st trimester,2023-07-01,0.0,0.0
m1 [ante natal care (anc)],1.2.7,Number of PW received 4 or more ANC check ups,2023-07-01,0.0,0.0
m1 [ante natal care (anc)],1.2.8,Number of PW given ANC Corticosteroids in Pre-Term Labour,2023-07-01,33.0,0.00046409585688971395
m1 [ante natal care (anc)],1.3.1,New cases of PW with hypertension detected ,2023-07-01,24.0,0.0003375242595561556
m1 [ante natal care (anc)],1.3.1.a,Number of PW with hypertension managed at institution ,2023-07-01,24.0,0.0003375242595561556
m1 [ante natal care (anc)],1.3.2,Number of Eclampsia cases managed during delivery,2023-07-01,1.0,1.4063510814839816e-05
m1 [ante natal care (anc)],1.4.1,Number of PW tested for Haemoglobin (Hb ) 4 or more than 4 times for respective ANCs,2023-07-01,56.0,0.0007875566056310297
m1 [ante natal care (anc)],1.4.2,Number of PW having Hb level<11(7.1 to 10.9 g/dl) (Out of total tested cases),2023-07-01,342.0,0.0048097206986752175
m1 [ante natal care (anc)],1.4.3,Number of PW having Hb level<=7 g/dl (Out of total tested cases),2023-07-01,6.0,8.43810648890389e-05
m1 [ante natal care (anc)],1.4.4,Number of PW treated for severe anaemia (Hb<=7g/dl) (Out of total tested cases),2023-07-01,6.0,8.43810648890389e-05
m1 [ante natal care (anc)],1.5.1,Number of PW tested for Blood Sugar using OGTT(Oral Glucose Tolerance Test),2023-07-01,343.0,0.004823784209490057
m1 [ante natal care (anc)],1.5.2,Number of PW tested positive for GDM out of total OGTT(Oral Glucose Tolerance Test) conducted,2023-07-01,23.0,0.00032346074874131577
m1 [ante natal care (anc)],1.5.3,Number of PW given Insulin out of total tested positive for GDM,2023-07-01,6.0,8.43810648890389e-05
m1 [ante natal care (anc)],1.5.4,Number of PW given Metformin out of total tested positive for GDM,2023-07-01,12.0,0.0001687621297780778
m1 [ante natal care (anc)],1.6.1.a,Number of pregnant/Direct-In-Labor (DIL) women screened/tested (with VDRL/RPR/TPHA/RDT/PoC) for Syphilis,2023-07-01,356.0,0.005006609850082975
m1 [ante natal care (anc)],1.6.1.b,Number of pregnant/DIL women found Seropositive for Syphilis by VDRL/RPR/TPHA/RDT/PoC test,2023-07-01,0.0,0.0
m1 [ante natal care (anc)],1.6.1.c,Number of pregnant/DIL women found Syphilis-Seropositive and given treatment with injection Benzathine Penicillin (IM),2023-07-01,0.0,0.0
m1 [ante natal care (anc)],1.6.1.d,Number of live births among Syphilis Seropositive Pregnant Women,2023-07-01,0.0,0.0
m1 [ante natal care (anc)],1.6.1.e,Number of babies born to Syphilis-Seropositive Pregnant Women tested positive/ clinically diagnosed for congenital Syphilis ,2023-07-01,0.0,0.0
m1 [ante natal care (anc)],1.6.1.f,"Out of above, babies with congenital Syphilis received curative treatment ",2023-07-01,0.0,0.0
m1 [ante natal care (anc)],1.7.1,Number of Pregnant Women tested positive for Thyroid disorder,2023-07-01,78.0,0.0010969538435575057
m1 [ante natal care (anc)],1.7.2,Number of Pregnant Women treated for thyroid disorder,2023-07-01,62.0,0.0008719376705200685
m1 [ante natal care (anc)],1.8.1,Number of Pregnant Women screened for TB ,2023-07-01,0.0,0.0
m1 [ante natal care (anc)],1.8.2,Number of Pregnant Women identified with Presumptive TB symptoms,2023-07-01,0.0,0.0
m1 [ante natal care (anc)],1.8.3,Number of Pregnant Women referred out of those identified with Presumptive TB symptoms ,2023-07-01,0.0,0.0
m1 [ante natal care (anc)],1.9.1,Total High Risk Pregnancy (HRP) Intrapartum including following:,2023-07-01,15.0,0.00021095266222259724
m1 [ante natal care (anc)],1.9.1.a,Number of Pregnant Women with Post-Partum Haemorrhage(Immediately after delivery) in the facility.,2023-07-01,6.0,8.43810648890389e-05
m1 [ante natal care (anc)],1.9.1.b,Number of Pregnant Women with Sepsis in the facility.,2023-07-01,8.0,0.00011250808651871853
m1 [ante natal care (anc)],1.9.1.c,Number of Pregnant Women identified with Eclampsia in the facility,2023-07-01,1.0,1.4063510814839816e-05
m1 [ante natal care (anc)],1.9.1.d,Number of Pregnant Women identified with obstructed labour in the facility.,2023-07-01,0.0,0.0
m1 [ante natal care (anc)],1.9.2,Total High Risk Pregnancy (HRP) Antepartum (Only New Cases are to be reported),2023-07-01,112.0,0.0015751132112620594
m1 [ante natal care (anc)],1.9.3,Total no. of ANC or PNC cases referred to Higher/ any other facility,2023-07-01,0.0,0.0
m1 [ante natal care (anc)],1.9.4,Total no. of ANC or PNC cases referred in to the facility,2023-07-01,32.0,0.0004500323460748741
m1 [ante natal care (anc)],1.9.5,Number of Complicated pregnancies treated with Blood Transfusion,2023-07-01,21.0,0.00029533372711163615
m1 [ante natal care (anc)],1.1,Total number of NEW Pregnant Women registered for ANC ,2023-08-01,0.0,0.0
m1 [ante natal care (anc)],1.1.a,Out of total number of NEW Pregnant Women registered with age <15 years,2023-08-01,0.0,0.0
m1 [ante natal care (anc)],1.1.b,Out of total number of NEW Pregnant Women registered with age 15-19 years,2023-08-01,0.0,0.0
m1 [ante natal care (anc)],1.1.c,Out of total number of NEW Pregnant Women registered with age >19 to 49 years,2023-08-01,0.0,0.0
m1 [ante natal care (anc)],1.1.d,Out of total number of NEW Pregnant Women registered with age >49 years,2023-08-01,0.0,0.0
m1 [ante natal care (anc)],1.1.1,"Out of the total NEW ANC registered, number registered within 1st trimester (within 12 weeks)",2023-08-01,0.0,0.0
m1 [ante natal care (anc)],1.1.2,Total ANC footfall/cases (Old cases + New Registration) attended ,2023-08-01,356.0,0.005006609850082975
m1 [ante natal care (anc)],1.2.1,Number of PW given Td1 (Tetanus Diptheria dose 1),2023-08-01,10.0,0.00014063510814839815
m1 [ante natal care (anc)],1.2.2,Number of PW given Td2 (Tetanus Diptheria dose 2),2023-08-01,15.0,0.00021095266222259724
m1 [ante natal care (anc)],1.2.3,Number of PW given Td Booster (Tetanus Diptheria dose booster),2023-08-01,16.0,0.00022501617303743706
m1 [ante natal care (anc)],1.2.4,Number of PW provided full course 180 Iron Folic Acid (IFA) tablets ,2023-08-01,0.0,0.0
m1 [ante natal care (anc)],1.2.5,Number of PW provided full course 360 Calcium tablets ,2023-08-01,0.0,0.0
m1 [ante natal care (anc)],1.2.6,Number of PW given one Albendazole tablet after 1st trimester,2023-08-01,0.0,0.0
m1 [ante natal care (anc)],1.2.7,Number of PW received 4 or more ANC check ups,2023-08-01,0.0,0.0
m1 [ante natal care (anc)],1.2.8,Number of PW given ANC Corticosteroids in Pre-Term Labour,2023-08-01,29.0,0.00040784181363035465
m1 [ante natal care (anc)],1.3.1,New cases of PW with hypertension detected ,2023-08-01,28.0,0.00039377830281551486
m1 [ante natal care (anc)],1.3.1.a,Number of PW with hypertension managed at institution ,2023-08-01,28.0,0.00039377830281551486
m1 [ante natal care (anc)],1.3.2,Number of Eclampsia cases managed during delivery,2023-08-01,0.0,0.0
m1 [ante natal care (anc)],1.4.1,Number of PW tested for Haemoglobin (Hb ) 4 or more than 4 times for respective ANCs,2023-08-01,44.0,0.0006187944758529519
m1 [ante natal care (anc)],1.4.2,Number of PW having Hb level<11(7.1 to 10.9 g/dl) (Out of total tested cases),2023-08-01,29.0,0.00040784181363035465
m1 [ante natal care (anc)],1.4.3,Number of PW having Hb level<=7 g/dl (Out of total tested cases),2023-08-01,2.0,2.8127021629679632e-05
m1 [ante natal care (anc)],1.4.4,Number of PW treated for severe anaemia (Hb<=7g/dl) (Out of total tested cases),2023-08-01,2.0,2.8127021629679632e-05
m1 [ante natal care (anc)],1.5.1,Number of PW tested for Blood Sugar using OGTT(Oral Glucose Tolerance Test),2023-08-01,138.0,0.0019407644924478945
m1 [ante natal care (anc)],1.5.2,Number of PW tested positive for GDM out of total OGTT(Oral Glucose Tolerance Test) conducted,2023-08-01,6.0,8.43810648890389e-05
m1 [ante natal care (anc)],1.5.3,Number of PW given Insulin out of total tested positive for GDM,2023-08-01,2.0,2.8127021629679632e-05
