Category,Category Name,Scheme Name,Description,Benefits,Flaws,Level
M2,Deliveries,National Health Mission (NHM),Integrates maternal and child health services with a focus on delivery care,Improves maternal health outcomes through holistic service delivery,Overburdened staff in rural health facilities limits effectiveness,National
M2,Deliveries,Thayi Bhagya Scheme,Ensures maternal healthcare for underprivileged women in Karnataka,Enhances access to institutional delivery services,State-specific scope limits impact,State
M2,Deliveries,Maternity Benefit Program,Provides cash incentives for deliveries,Supports maternal recovery and neonatal health,Delays in fund distribution,National
M2,Deliveries,Urban Health Initiative,Focuses on antenatal care and urban maternal health,Targets underserved urban populations,Insufficient infrastructure in urban slums,State
M2,Deliveries,Janani Evam Bal Suraksha Yojana,Focuses on both maternal and neonatal health outcomes,Improves neonatal survival rates,Lack of staff training,State
M2,Deliveries,Mukhya Mantri Shishu Suraksha Yojana,Supports institutional deliveries and child health services,Reduces neonatal and maternal mortality rates,Lack of awareness,State
M2,Deliveries,Suman Yojana,Focuses on improving maternal health during delivery,Promotes respectful maternity care,Challenges in sustaining outreach services,National
M3,Number of Caesarean (C-Section) deliveries,LaQshya,Reduces unnecessary cesarean sections through training and audits,Improves decision-making and quality of care in delivery wards,Limited implementation in smaller facilities,National
M3,Number of Caesarean (C-Section) deliveries,Janani Shishu Suraksha Karyakram (JSSK),Covers emergency cesarean delivery costs for poor women,Eliminates financial barriers in accessing emergency care,Infrastructure and equipment shortages can delay surgeries,National
M3,Number of Caesarean (C-Section) deliveries,National Rural Health Mission (NRHM),Promotes natural deliveries by empowering rural health workers,Focuses on skilled care at birth and better risk assessments,Limited effectiveness in remote or underserved regions,National
M3,Number of Caesarean (C-Section) deliveries,Integrated Management of Pregnancy and Childbirth,Encourages evidence-based practices to reduce unnecessary interventions,Reduces complications arising from unnecessary C-sections,Training gaps in under-resourced hospitals,National/State
M3,Number of Caesarean (C-Section) deliveries,Mukhya Mantri Janani Suraksha Yojana,Provides free obstetric care for high-risk deliveries,Reduces maternal and neonatal deaths during complex deliveries,Awareness among beneficiaries is inconsistent,State
M3,Number of Caesarean (C-Section) deliveries,Cesarean Rate Monitoring Program,Tracks cesarean rates in hospitals,Supports data-driven policymaking for maternal health,Gaps in data reporting from private facilities,National
M3,Number of Caesarean (C-Section) deliveries,Surgery Readiness Initiative,Ensures availability of surgical equipment in district hospitals,Improves preparedness for cesarean deliveries,Frequent equipment shortages in rural areas,State
M3,Number of Caesarean (C-Section) deliveries,Emergency Cesarean Support Program,Focuses on timely emergency cesarean sections,Improves maternal and neonatal survival rates,Delays in emergency response due to transport issues,National
M3,Number of Caesarean (C-Section) deliveries,Obstetrician Training Scheme,Provides specialized training for cesarean procedures,Improves surgical skills and maternal outcomes,Lack of continuous training programs,State
M3,Number of Caesarean (C-Section) deliveries,Respectful Maternity Care Program,Encourages respectful care during cesarean procedures,Improves patient satisfaction and outcomes,Insufficient awareness among healthcare providers,National
M4,Pregnancy outcome & details of new-born,Surakshit Matritva Aashwasan (SUMAN),Ensures dignified and quality maternal and newborn healthcare services,Improves survival rates for mothers and newborns,Challenges in ensuring uniform quality of care,National
M4,Pregnancy outcome & details of new-born,Facility-Based Newborn Care Program,Provides intensive care for sick newborns,Reduces neonatal mortality,Shortage of trained staff in some regions,State
M4,Pregnancy outcome & details of new-born,Integrated Child Development Services (ICDS),Offers health and nutrition support for pregnant women and newborns,Addresses malnutrition and improves child development,Limited outreach in remote areas,National
M4,Pregnancy outcome & details of new-born,Rashtriya Bal Swasthya Karyakram (RBSK),Screens and treats birth defects and developmental delays in children,Improves early diagnosis and treatment outcomes,Coverage gaps in rural regions,National
M4,Pregnancy outcome & details of new-born,Revised Neonatal Resuscitation Program,Focuses on training healthcare workers in neonatal resuscitation,Reduces birth asphyxia-related deaths,Periodic retraining required,National
M4,Pregnancy outcome & details of new-born,Breastfeeding Promotion Scheme,Promotes exclusive breastfeeding practices,Reduces infant mortality,Cultural barriers in some regions,State
M4,Pregnancy outcome & details of new-born,Newborn Screening Program,Identifies congenital disorders in newborns,Prevents long-term disabilities,Lack of infrastructure for advanced screenings,National
M4,Pregnancy outcome & details of new-born,Mother and Child Tracking System (MCTS),Tracks health records of pregnant women and newborns,Improves continuity of care,Data entry errors affect reliability,National
M4,Pregnancy outcome & details of new-born,Nutritional Support Program for Lactating Mothers,Provides food and supplements for lactating women,Improves maternal and child nutrition,Delays in supply chain management,State
M4,Pregnancy outcome & details of new-born,Child Health and Survival Program,Focuses on reducing maternal and neonatal mortality,Improves healthcare access,Lack of coordination among health workers,National
M5,Anaemia Mukt Bharat,Anaemia Mukt Bharat (AMB),"Focuses on reducing anaemia among children, adolescents, and women",Improves health outcomes through iron supplementation and deworming,Challenges in compliance with supplementation protocols,National
M5,Anaemia Mukt Bharat,Weekly Iron and Folic Acid Supplementation (WIFS),Targets anaemia reduction in adolescents through weekly supplementation,Addresses iron deficiency in critical growth stages,Lack of monitoring in some schools,National
M5,Anaemia Mukt Bharat,Mid-Day Meal Program,Provides fortified meals in schools to improve child nutrition,Combats anaemia and malnutrition in school-aged children,Quality of meals varies in some regions,National
M5,Anaemia Mukt Bharat,Integrated Child Development Services (ICDS),Offers supplementary nutrition for pregnant women and children under 6,Prevents anaemia and supports childhood development,Supply chain logistics remain a challenge,National
M5,Anaemia Mukt Bharat,Kishori Shakti Yojana,Empowers adolescent girls with nutrition and health education,Promotes awareness and reduces anaemia prevalence,Limited community participation in some areas,National
M5,Anaemia Mukt Bharat,Poshan Abhiyaan,Focuses on malnutrition reduction in women and children,Improves nutritional awareness and access to supplements,Resource constraints affect rural areas,National
M5,Anaemia Mukt Bharat,Mother and Child Anemia Control Program,Targets anaemia in pregnant women through regular screenings,Reduces complications associated with severe anaemia,Delayed follow-ups in some cases,State
M5,Anaemia Mukt Bharat,Nutritional Rehabilitation Centers,Provides intensive care for malnourished children,Reduces severe anaemia in young children,Requires skilled staff and resources,State
M5,Anaemia Mukt Bharat,Village Health and Nutrition Days,Community-based intervention for anaemia screening and nutrition counseling,Improves reach in rural areas,Limited participation due to cultural barriers,National
M5,Anaemia Mukt Bharat,Fortified Food Distribution Program,Provides iron-fortified staples to low-income families,Reduces anaemia prevalence in vulnerable populations,Supply chain inconsistencies,State
M6,Post Natal Care (PNC),Surakshit Matritva Aashwasan (SUMAN),Ensures dignified postnatal care services,Reduces postnatal complications and improves neonatal survival,Gaps in follow-up care,National
M6,Post Natal Care (PNC),Home-Based Newborn Care (HBNC),Provides postnatal care through ASHA workers during home visits,Improves neonatal outcomes in rural settings,Lack of adequate training for ASHAs,National
M6,Post Natal Care (PNC),Janani Shishu Suraksha Karyakram (JSSK),Covers free postnatal care in public health facilities,Removes financial barriers for mothers and newborns,Logistical issues in some regions,National
M6,Post Natal Care (PNC),LaQshya,Enhances the quality of postnatal care in labor rooms,Reduces infections and complications post-delivery,High compliance standards require resources,National
M6,Post Natal Care (PNC),Pradhan Mantri Matru Vandana Yojana (PMMVY),Offers financial incentives for maternal nutrition and rest post-delivery,Improves maternal recovery and infant health,Delays in fund disbursement affect uptake,National
M6,Post Natal Care (PNC),Postnatal Nutritional Support Program,Provides food supplements to lactating mothers,Improves nutritional status of mothers and infants,Sporadic supply disruptions,State
M6,Post Natal Care (PNC),Revised Maternal and Neonatal Care Guidelines,Standardizes postnatal care practices in facilities,Ensures safer postnatal recovery,Lack of compliance in some facilities,National
M6,Post Natal Care (PNC),Nutritional Rehabilitation Centers for Mothers,Focuses on malnourished mothers post-delivery,Improves maternal recovery outcomes,Requires sustained funding,State
M6,Post Natal Care (PNC),Skilled Midwife Deployment Program,Deploys trained midwives for home-based postnatal care,Reduces complications in underserved regions,Shortage of trained personnel,National
M6,Post Natal Care (PNC),Community-Based Postnatal Awareness Campaign,Educates mothers on the importance of postnatal care,Improves participation in postnatal programs,Lack of engagement in some regions,State
M7,Reproductive Tract Infections/Sexually transmitted infections (RTI/STI) Cases,National AIDS Control Program (NACP),"Focuses on RTI/STI prevention, care and treatment",Improves access to counseling and treatment services,Stigma limits utilization,National
M7,Reproductive Tract Infections/Sexually transmitted infections (RTI/STI) Cases,Rashtriya Kishor Swasthya Karyakram (RKSK),Targets adolescent sexual and reproductive health,Improves awareness and access to youth-friendly services,Cultural barriers in discussing RTI/STI issues,National
M7,Reproductive Tract Infections/Sexually transmitted infections (RTI/STI) Cases,Suraksha Clinics,Provides free RTI/STI diagnostic and treatment services,Reduces prevalence through targeted interventions,Limited awareness about clinic availability,State
M7,Reproductive Tract Infections/Sexually transmitted infections (RTI/STI) Cases,Integrated Disease Surveillance Programme (IDSP),Monitors RTI/STI cases and supports early intervention,Enhances outbreak response mechanisms,Coverage gaps in rural areas,National
M7,Reproductive Tract Infections/Sexually transmitted infections (RTI/STI) Cases,National Reproductive Health Strategy,Strengthens access to reproductive health services,Improves RTI/STI management through integration,Resource constraints in underserved regions,National
M7,Reproductive Tract Infections/Sexually transmitted infections (RTI/STI) Cases,Adolescent Sexual Health Program,Educates young individuals on RTI/STI prevention,Increases awareness and reduces stigma,Insufficient outreach in remote regions,State
M7,Reproductive Tract Infections/Sexually transmitted infections (RTI/STI) Cases,RTI/STI Mobile Clinics,Provides diagnostic and counseling services in remote areas,Increases healthcare access for marginalized populations,Lack of trained personnel for mobile units,State
M7,Reproductive Tract Infections/Sexually transmitted infections (RTI/STI) Cases,RTI/STI Awareness Campaigns,Promotes knowledge of RTI/STI symptoms and prevention,Encourages early diagnosis and treatment,Lack of sustained campaigns,National
M7,Reproductive Tract Infections/Sexually transmitted infections (RTI/STI) Cases,Safe Sexual Practices Initiative,Promotes condom use and safe sexual behavior,Reduces transmission of infections,Resistance in conservative communities,State
M7,Reproductive Tract Infections/Sexually transmitted infections (RTI/STI) Cases,Community-Based STI Management,Engages community health workers for RTI/STI care,Improves local response to infections,Overburdened health workers,National
M8,Family Planning,Mission Parivar Vikas,Targets high fertility districts to improve family planning coverage,Reduces maternal and infant mortality in underserved regions,Cultural resistance in certain areas,National
M8,Family Planning,Antara and Chhaya,Promotes injectable contraceptives and pills,Provides additional family planning options to women,Myths and misconceptions about side effects reduce adoption,National
M8,Family Planning,Family Planning Indemnity Scheme (FPIS),Covers medical risks associated with sterilization,Encourages uptake of permanent family planning methods,Lack of awareness about the scheme among eligible couples,National
M8,Family Planning,Rashtriya Kishor Swasthya Karyakram (RKSK),Addresses adolescent family planning needs,Improves reproductive health awareness among youth,Engagement strategies for out-of-school adolescents are limited,National
M8,Family Planning,National Population Policy,Focuses on long-term strategies to stabilize population growth,Improves reproductive health and gender equality,Implementation challenges in remote areas,National
M8,Family Planning,Postpartum Family Planning Program,Provides contraceptive counseling and methods after delivery,Reduces unplanned pregnancies postpartum,Lack of trained staff for counseling,State
M8,Family Planning,Spacing Methods Awareness Campaign,Encourages the use of spacing methods between births,Improves maternal and child health outcomes,Low participation due to cultural barriers,State
M8,Family Planning,Family Planning Counseling at PHCs,Integrates counseling sessions into primary healthcare,Improves accessibility to family planning resources,Underutilization of PHCs in some regions,National
M8,Family Planning,Emergency Contraception Initiative,Promotes awareness and availability of emergency contraception,Reduces unintended pregnancies after unprotected intercourse,Lack of awareness about availability,State
M8,Family Planning,Community-Based Distribution of Contraceptives,Engages ASHA workers to distribute contraceptives,Improves access in rural areas,Overburdened ASHA workers,National
M9,CHILD IMMUNISATION,Universal Immunization Program (UIP),Provides free immunizations for children under five,Prevents vaccine-preventable diseases,Supply chain issues in remote regions,National
M9,CHILD IMMUNISATION,Intensified Mission Indradhanush (IMI),Targets underserved populations to increase vaccination coverage,Improves immunization rates in difficult-to-reach areas,Limited resources for scaling up,National
M9,CHILD IMMUNISATION,Rotavirus Vaccine Initiative,Introduces rotavirus vaccine into routine immunization,Reduces diarrheal deaths in children under five,Lack of awareness in rural areas,National
M9,CHILD IMMUNISATION,Pneumococcal Conjugate Vaccine Program,Provides pneumococcal vaccines to prevent pneumonia,Reduces child mortality from pneumonia,Limited availability in certain districts,State
M9,CHILD IMMUNISATION,Measles-Rubella Vaccination Campaign,Focuses on eliminating measles and rubella by 2025,Reduces childhood disability and mortality,Cultural resistance to vaccination campaigns,National
M9,CHILD IMMUNISATION,Polio Eradication Campaign,Ensures polio vaccination for all eligible children,Maintains polio-free status in India,Need for sustained awareness in low-coverage areas,National
M9,CHILD IMMUNISATION,National Cold Chain Infrastructure Strengthening,Improves vaccine storage and distribution networks,Ensures vaccine potency and availability,Maintenance challenges in remote areas,National
M9,CHILD IMMUNISATION,Adverse Events Following Immunization Surveillance,Monitors and addresses vaccine-related adverse events,Builds public trust in immunization programs,Lack of timely reporting in some regions,National
M9,CHILD IMMUNISATION,Mobile Immunization Units,Delivers vaccination services to remote communities,Improves coverage in inaccessible regions,Operational challenges and staffing shortages,State
M9,CHILD IMMUNISATION,Village Immunization Days,Organizes immunization camps in rural areas,Increases vaccine access for marginalized populations,Limited participation due to misinformation,National
M10,Number of cases of Childhood Diseases (0-5 years),Integrated Management of Neonatal and Childhood Illness (IMNCI),Focuses on early detection and treatment of childhood diseases,Reduces under-five mortality,Training gaps among healthcare workers,National
M10,Number of cases of Childhood Diseases (0-5 years),Rashtriya Bal Swasthya Karyakram (RBSK),Screens children for congenital defects and developmental delays,Improves early diagnosis and treatment,Coverage gaps in remote areas,National
M10,Number of cases of Childhood Diseases (0-5 years),National Deworming Day (NDD),Provides deworming treatment for children in schools,Improves nutritional status and reduces anemia,Low participation in out-of-school children,National
M10,Number of cases of Childhood Diseases (0-5 years),Vitamin A Supplementation Program,Provides Vitamin A to children under five,Prevents blindness and strengthens immunity,Irregular distribution in some districts,National
M10,Number of cases of Childhood Diseases (0-5 years),Diarrhea Control Program,Promotes oral rehydration therapy and zinc supplementation,Reduces deaths from diarrhea in young children,Lack of awareness in some communities,State
M10,Number of cases of Childhood Diseases (0-5 years),Pneumonia Management Program,Ensures timely treatment of childhood pneumonia,Reduces mortality from pneumonia,Shortages of antibiotics in rural areas,National
M10,Number of cases of Childhood Diseases (0-5 years),Childhood Tuberculosis Initiative,Focuses on early detection and treatment of TB in children,Improves outcomes and reduces transmission,Low awareness about childhood TB,State
M10,Number of cases of Childhood Diseases (0-5 years),National Nutrition Mission,Addresses malnutrition and associated diseases in children,Improves growth and development outcomes,Sustainability challenges in certain regions,National
M10,Number of cases of Childhood Diseases (0-5 years),School Health Program,Provides health checkups and disease screenings in schools,Improves early detection of health issues,Limited coverage in private schools,State
M10,Number of cases of Childhood Diseases (0-5 years),Health and Wellness Centers for Children,Offers primary healthcare services for childhood diseases,Improves access to treatment in underserved areas,Lack of infrastructure in remote regions,National
M11,NVBDCP,National Vector Borne Disease Control Programme (NVBDCP),"Targets malaria, dengue, chikungunya, and other vector-borne diseases",Reduces disease burden through vector control and treatment,Challenges in ensuring compliance with preventive measures,National
M11,NVBDCP,Malaria Elimination Framework 2030,Focuses on achieving zero indigenous malaria cases,Reduces malaria-related morbidity and mortality,Inadequate surveillance in remote areas,National
M11,NVBDCP,Dengue Prevention and Control Program,Encourages community-based source reduction,Decreases incidence of dengue fever,Lack of sustained community participation,State
M11,NVBDCP,Filaria Control Program,Provides mass drug administration for filariasis elimination,Reduces disease prevalence in endemic regions,Irregular drug distribution in certain areas,National
M11,NVBDCP,Kala-Azar Elimination Program,Focuses on reducing kala-azar cases through early detection and treatment,Improves survival and quality of life,Underreporting of cases in rural regions,National
M11,NVBDCP,Integrated Vector Management Program,Promotes larvicidal measures and insecticide-treated nets,Enhances prevention of vector-borne diseases,Chemical resistance in vectors limits effectiveness,State
M11,NVBDCP,Chikungunya Awareness Campaign,Educates communities about chikungunya prevention,Improves early recognition of symptoms,Limited outreach in urban slums,National
M11,NVBDCP,Urban Malaria Scheme,Focuses on controlling malaria in urban areas,Reduces transmission in high-density populations,Lack of infrastructure in peri-urban regions,State
M11,NVBDCP,Rural Dengue Surveillance Program,Strengthens dengue surveillance in rural areas,Improves early outbreak detection and response,Resource constraints in isolated regions,National
M11,NVBDCP,Health Education and Vector Awareness Program,Promotes community awareness of vector-borne diseases,Encourages use of protective measures,Cultural resistance to some interventions,State
M12,Adolescent Health,Rashtriya Kishor Swasthya Karyakram (RKSK),"Addresses adolescent health issues including mental, physical, and sexual health",Improves access to youth-friendly health services,Cultural barriers in discussing sensitive topics,National
M12,Adolescent Health,School Health and Wellness Program,Provides health education and screenings for adolescents in schools,Improves early detection of health issues,Limited reach to out-of-school adolescents,State
M12,Adolescent Health,Adolescent Friendly Health Clinics (AFHCs),Provides counseling and healthcare services for adolescents,Improves access to reproductive and mental health services,Limited availability in rural areas,National
M12,Adolescent Health,Weekly Iron and Folic Acid Supplementation (WIFS),Focuses on reducing anemia among adolescents through supplementation,Improves energy and growth outcomes,Low adherence in some schools,National
M12,Adolescent Health,Mental Health Awareness Campaigns for Youth,Educates adolescents about mental health issues and coping strategies,Reduces stigma and encourages help-seeking behaviors,Lack of trained counselors in schools,State
M12,Adolescent Health,Kishori Shakti Yojana,Empowers adolescent girls through nutrition and health education,Improves nutritional status and awareness,Cultural resistance limits program reach,National
M12,Adolescent Health,Sports for Health Program,Promotes physical activity among adolescents,Encourages healthy lifestyles and reduces obesity,Limited resources for sports infrastructure,State
M12,Adolescent Health,Substance Abuse Prevention Program,Focuses on educating adolescents about the risks of substance abuse,Reduces addiction and improves mental health,Lack of follow-up mechanisms,National
M12,Adolescent Health,Peer Educator Program for Adolescents,Trains adolescents to educate their peers on health issues,Improves engagement and awareness among youth,Requires sustained training and support,State
M12,Adolescent Health,Nutritional Support for Adolescent Mothers,Provides food and supplements for young mothers,Improves health outcomes for both mother and child,Sporadic supply chain challenges,National
M13,National TB Elimination Programme (NTEP),National Tuberculosis Elimination Program (NTEP),Aims to eliminate TB by 2025 through early detection and treatment,Reduces TB-related mortality and transmission,Underreporting of cases in some regions,National
M13,National TB Elimination Programme (NTEP),Treatment Adherence Support Program,Provides counseling and support for TB patients,Improves treatment completion rates,Lack of community awareness in remote areas,State
M13,National TB Elimination Programme (NTEP),Nikshay Poshan Yojana,Offers financial assistance for nutritional support to TB patients,Improves treatment outcomes by addressing malnutrition,Delays in fund disbursement,National
M13,National TB Elimination Programme (NTEP),Active Case Finding Campaigns,Conducts door-to-door screenings for TB in high-risk areas,Improves early detection and reduces transmission,Lack of resources for scaling up campaigns,State
M13,National TB Elimination Programme (NTEP),TB Preventive Therapy Program,Provides prophylactic treatment for high-risk groups,Reduces incidence of latent TB activation,Low awareness about preventive therapies,National
M13,National TB Elimination Programme (NTEP),Public-Private Mix (PPM) Model,Encourages collaboration between public and private healthcare providers,Increases TB case notification and treatment access,Coordination challenges between stakeholders,State
M13,National TB Elimination Programme (NTEP),MDR-TB Management Program,Focuses on diagnosing and treating multi-drug-resistant TB,Improves outcomes for resistant cases,High cost of second-line drugs limits access,National
M13,National TB Elimination Programme (NTEP),Community-Based TB Awareness Campaigns,Educates communities about TB symptoms and treatment,Encourages early diagnosis and adherence to treatment,Stigma remains a barrier to participation,State
M13,National TB Elimination Programme (NTEP),Childhood TB Initiative,Targets TB detection and treatment in children,Reduces pediatric TB mortality,Low awareness about childhood TB symptoms,National
M13,National TB Elimination Programme (NTEP),Digital TB Surveillance System,Tracks TB cases and treatment outcomes in real-time,Improves program monitoring and accountability,Data entry issues affect reliability,State
M14,Patient Services,National Patient Safety Framework,Focuses on improving safety standards in healthcare facilities,Reduces medical errors and adverse events,Lack of training on safety protocols,National
M14,Patient Services,Hospital Infection Control Program,Promotes hygiene and infection prevention in hospitals,Reduces hospital-acquired infections,Resource constraints for implementing guidelines,State
M14,Patient Services,Patient Grievance Redressal System,Provides a platform for patients to report grievances,Improves accountability and patient satisfaction,Delays in addressing complaints,National
M14,Patient Services,Ayushman Bharat - Patient Services Initiative,Enhances access to free healthcare for low-income groups,Reduces financial burden of medical treatment,Challenges in quality assurance at empaneled hospitals,National
M14,Patient Services,Patient Feedback System,Collects feedback from patients on healthcare services,Improves healthcare quality through actionable insights,Low response rates in some facilities,State
M14,Patient Services,Digital Health Records System,Encourages the use of electronic medical records,Improves continuity of care and reduces errors,Implementation challenges in rural facilities,National
M14,Patient Services,Emergency Response Services,Ensures timely care for critical patients through ambulance networks,Reduces pre-hospital mortality rates,Limited coverage in remote areas,State
M14,Patient Services,Outpatient Department Efficiency Program,Optimizes patient flow in OPDs to reduce waiting times,Improves patient experience and healthcare delivery,Staffing shortages in high-volume centers,National
M14,Patient Services,Community Health Helpline,Provides 24/7 support for health-related queries,Improves access to timely healthcare information,Low awareness about the service,State
M14,Patient Services,Health Literacy Campaigns,Educates patients about their rights and available services,Empowers patients to make informed decisions,Cultural and language barriers in outreach efforts,National
M15,Laboratory Testing,Laboratory Strengthening Initiative,Focuses on upgrading diagnostic labs at all healthcare levels,Improves diagnostic accuracy and early disease detection,Lack of skilled personnel in rural labs,National
M15,Laboratory Testing,Integrated Disease Surveillance Programme (IDSP) Lab Network,Monitors infectious diseases through enhanced lab surveillance,Supports timely outbreak response,Underutilization of laboratory data in some regions,National
M15,Laboratory Testing,NABL Accreditation Support Program,Encourages labs to obtain national accreditation,Improves quality and reliability of diagnostic services,High cost of accreditation limits participation,State
M15,Laboratory Testing,Free Laboratory Testing Program,Provides free diagnostic tests for low-income populations,Increases access to essential diagnostics,Lack of infrastructure in remote areas,National
M15,Laboratory Testing,Biomedical Equipment Maintenance Program,Ensures functionality of lab equipment through regular maintenance,Improves operational efficiency of labs,Frequent delays in equipment servicing,State
M15,Laboratory Testing,Molecular Diagnostic Lab Expansion Program,Establishes molecular testing labs for advanced diagnostics,Enhances detection of genetic and infectious diseases,Requires highly trained staff and expensive reagents,National
M15,Laboratory Testing,Digital Laboratory Reporting System,Implements digital platforms for lab results and tracking,Improves efficiency and reduces errors,Connectivity issues in rural areas,State
M15,Laboratory Testing,Point-of-Care Testing Initiative,Introduces portable diagnostic devices for remote settings,Improves access to quick diagnostics in underserved regions,Lack of standardization in device usage,National
M15,Laboratory Testing,Community-Based Testing Camps,Organizes diagnostic camps in rural areas,Increases outreach and awareness,Logistical challenges in setting up temporary facilities,State
M15,Laboratory Testing,Public-Private Partnerships in Lab Services,Collaborates with private labs to enhance diagnostic capacity,Reduces burden on public labs,Coordination challenges between sectors,National
M16,Details of deaths reported with probable causes,Death Certification Training Program,Trains healthcare providers in accurate death certification,Improves quality of mortality data for policy planning,Lack of periodic retraining,State
M16,Details of deaths reported with probable causes,Verbal Autopsy Program,Conducts community-level investigations of probable causes of death,Enhances understanding of mortality patterns in rural areas,Limited resources for scaling the program,National
M16,Details of deaths reported with probable causes,Maternal Death Review (MDR) Guidelines,Standardizes reviews of maternal deaths,Identifies gaps in care to prevent future deaths,Incomplete reporting of maternal deaths in some regions,National
M16,Details of deaths reported with probable causes,Child Death Review Program,Investigates under-five mortality cases,Provides insights for improving child survival rates,Lack of trained staff for detailed reviews,State
M16,Details of deaths reported with probable causes,Electronic Mortality Reporting System,Implements digital platforms for reporting deaths and causes,Improves accuracy and timeliness of data reporting,Dependence on internet connectivity,National
M16,Details of deaths reported with probable causes,Hospital Mortality Audit System,Audits deaths occurring in hospital settings,Helps identify systemic issues and improve care delivery,Resistance to audits in some facilities,State
M16,Details of deaths reported with probable causes,Stillbirth Surveillance Program,Monitors stillbirth rates and associated causes,Improves interventions to reduce stillbirths,Lack of uniform implementation across regions,National
M16,Details of deaths reported with probable causes,Community Awareness on Death Registration,Promotes the importance of registering deaths,Improves the completeness of mortality data,Cultural resistance in some communities,State
M16,Details of deaths reported with probable causes,National Database on Mortality Trends,Tracks mortality patterns across the country,Supports evidence-based health planning,Data inconsistencies from multiple sources,National
M16,Details of deaths reported with probable causes,Post-Mortem Quality Assurance Program,Standardizes post-mortem practices to determine accurate causes of death,Improves forensic and public health insights,Shortage of trained forensic experts,State
M17,QA & BEMMP,Quality Assurance (QA) Framework for Healthcare,Standardizes quality metrics in healthcare facilities,Improves patient satisfaction and safety,Resource constraints in rural facilities,National
M17,QA & BEMMP,Biomedical Equipment Maintenance and Management Program (BEMMP),Ensures proper maintenance of healthcare equipment,Improves operational efficiency in hospitals,Delays in servicing equipment,National
M17,QA & BEMMP,Facility-Based Quality Certification Program,Certifies hospitals and clinics meeting quality standards,Encourages adherence to evidence-based practices,Cost of certification may deter smaller facilities,State
M17,QA & BEMMP,Patient Safety Surveillance Program,Tracks adverse events and ensures corrective actions,Enhances patient safety and care outcomes,Lack of robust reporting systems,National
M17,QA & BEMMP,Kayakalp Awards,Recognizes healthcare facilities for cleanliness and infection control,Promotes hygiene and sanitation in hospitals,Limited participation from underfunded facilities,National
M17,QA & BEMMP,Hospital Infection Prevention Program,Focuses on infection control measures in hospitals,Reduces hospital-acquired infections,Inconsistent implementation across facilities,State
M17,QA & BEMMP,Healthcare Worker Training on Quality Standards,Trains healthcare staff on QA guidelines,Improves adherence to quality protocols,Lack of follow-up training programs,National
M17,QA & BEMMP,Medical Waste Management Initiative,Ensures safe disposal of medical waste,Prevents environmental contamination and health hazards,Lack of compliance in smaller healthcare units,State
M17,QA & BEMMP,Digital Quality Monitoring System,Implements digital platforms for tracking quality indicators,Improves data-driven quality improvements,Connectivity challenges in rural regions,National
M17,QA & BEMMP,Community Engagement in Quality Assurance,Involves community members in quality audits of local facilities,Improves accountability and patient trust,Lack of awareness about participation opportunities,State
M20,Death Reviews (MDR) Done,Maternal Death Review (MDR) Initiative,Investigates all maternal deaths for preventable causes,Enhances interventions to reduce maternal mortality,Lack of accurate reporting mechanisms,National
